Показатель, млн ₽;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036
Выручка;0;1310;6519;17791;39021;56858;76685;98345;120874;142615
ФОТ со взносами;-218;-695;-982;-1301;-1654;-1973;-2324;-2709;-3046;-3413
Прочий OpEx;-502;-810;-1977;-4479;-9172;-13120;-17506;-22297;-27279;-32090
OpEx всего;-720;-1505;-2959;-5779;-10826;-15092;-19829;-25006;-30325;-35503
EBITDA;-720;-195;3560;12012;28195;41766;56856;73339;90549;107112
EBITDA-маржа, %;;-14,9;54,6;67,5;72,3;73,5;74,1;74,6;74,9;75,1
Амортизация;-43;-103;-160;-239;-496;-839;-1067;-1281;-1550;-1779
EBIT;-763;-298;3400;11773;27699;40927;55789;72058;88999;105333
Налог на прибыль;-0;-0;-585;-2943;-6925;-10232;-13947;-18014;-22250;-26333
Чистая прибыль;-763;-298;2815;8830;20774;30696;41841;54043;66749;79000
